2026-03-17 03:50:19 | Intent: Order_Tracking | Confidence: 0.9999 | Latency: 14798.75 ms
2026-03-17 03:50:26 | Intent: Order_Tracking | Confidence: 1.0000 | Latency: 12790.54 ms
2026-03-17 04:15:26 | Intent: Greeting | Confidence: 0.9999 | Latency: 12497.72 ms
2026-03-17 04:15:52 | Intent: Order_Tracking | Confidence: 0.9907 | Latency: 333.96 ms
2026-03-17 04:16:50 | Intent: Fallback | Confidence: 0.9216 | Latency: 331.71 ms
2026-03-17 04:17:09 | Intent: Fallback | Confidence: 0.9216 | Latency: 287.18 ms
2026-03-17 04:29:50 | Intent: Greeting | Confidence: 0.9999 | Latency: 19929.71 ms
2026-03-17 04:33:24 | Intent: Fallback | Confidence: 0.9216 | Latency: 1883.68 ms
2026-03-17 04:33:56 | Intent: Greeting | Confidence: 0.9999 | Latency: 340.82 ms
2026-03-17 04:34:28 | Intent: Order_Tracking | Confidence: 0.9999 | Latency: 316.06 ms
2026-03-17 04:35:02 | Intent: Fallback | Confidence: 0.9216 | Latency: 294.28 ms
2026-03-17 04:37:00 | Intent: Fallback | Confidence: 0.9216 | Latency: 520.27 ms
2026-03-17 04:42:56 | Intent: Order_Tracking | Confidence: 1.0000 | Latency: 1.00 ms
2026-03-17 04:52:06 | Intent: Acknowledgement | Confidence: 0.9999 | Latency: 21699.89 ms
2026-03-17 07:59:53 | Intent: Greeting | Confidence: 0.9997 | Latency: 2456.19 ms
